sku_id,category,subcategory,launch_date,unit_cost,list_price
SKU0046,Lighting,Floor Lamps,2024-07-28,3282.9,7675.07
SKU0047,Decor,Vases,2024-08-07,1902.85,4321.54
SKU0048,Decor,Rugs,2024-07-19,656.09,1243.99
SKU0049,Small Appliances,Toasters,2024-07-25,3868.39,10469.4
SKU0050,Furnishings,Chairs,2024-07-23,3402.97,7896.71
SKU0051,Furnishings,Shelving,2024-08-01,8353.57,19741.09
SKU0052,Furnishings,Shelving,2024-08-02,4127.27,8175.33
SKU0053,Lighting,Floor Lamps,2024-08-01,2477.33,4997.05
SKU0054,Small Appliances,Blenders,2024-07-25,3776.64,10908.92
SKU0055,Small Appliances,Toasters,2024-08-05,3223.12,5974.31
SKU0056, Lighting ,Floor Lamps,2024-08-06,2329.21,4843.41
SKU0057,Decor,Wall Art,2024-07-30,1575.06,3387.12
SKU0058,Small Appliances,Air Fryers,2026-05-25,4956.07,11836.27
SKU0059,Furnishings,Shelving,2024-07-22,7175.46,17965.44
SKU0060,Furnishings,Sofas,2024-07-24,8196.14,19604.74
SKU0061,SMALL APPLIANCES,Air Fryers,2024-08-03,5642.43,10725.91
SKU0062,Decor,Wall Art,2026-02-08,,869.43
SKU0063,Small Appliances,Air Fryers,2024-07-30,,3962.37
SKU0064,Lighting,Floor Lamps,2024-07-29,806.98,2069.99
SKU0065,Small Appliances,Blenders,2024-08-04,4220.89,10885.59
SKU0066,Small Appliances,Coffee Makers,2024-07-19,2976.76,7752.21
SKU0067,Small Appliances,Blenders,2026-03-26,4826.47,13106.2
SKU0068,Decor,Candles,2026-05-09,1408.22,
SKU0069,Furnishings,Sofas,2024-07-22,5669.56,12699.42
SKU0070,Decor,Rugs,2024-08-05,1817.06,4447.13
SKU0071,Furnishings,Beds,2024-07-31,9744.06,21496.84
SKU0072,decor,Rugs,2024-07-25,686.96,1932.68
SKU0073,Lighting,Floor Lamps,2024-07-24,1774.67,4222.09
SKU0074,Furnishings,Tables,2024-07-25,5487.18,14938.04
SKU0075,FURNISHINGS,Beds,2024-07-30,3997.31,11282.08
SKU0076,Decor,Mirrors,2024-07-20,466.01,1121.1
SKU0077,Decor,Rugs,2024-08-02,1885.03,5450.49
SKU0078,Small Appliances,Blenders,2024-07-24,3077.1,7706.75
SKU0079,Small Appliances,Air Fryers,2024-07-24,2793.26,7877.91
SKU0080,Lighting,Table Lamps,2024-07-19,3053.9,6745.18
SKU0081, Small Appliances ,Kettles,2024-07-27,3675.56,8816.13
SKU0082,DECOR,Rugs,2024-07-25,1885.05,4595.17
SKU0083, Lighting ,Table Lamps,2024-07-23,3231.06,6222.94
SKU0084,Furnishings,Beds,2024-08-04,7054.01,16070.89
SKU0085,Furnishings,Tables,2024-07-26,6075.41,17623.58
SKU0086,Furnishings,Chairs,2024-07-28,11873.0,30359.25
SKU0087,Small Appliances,Kettles,2024-07-29,4532.35,9123.66
SKU0088,Decor,Candles,2026-03-02,1912.15,4219.4
SKU0089,Furnishings,Beds,2024-08-04,3625.55,7359.59
SKU0090,Decor,Mirrors,2026-03-14,1730.96,3167.29
SKU0091,Furnishings,Shelving,2024-07-23,8552.2,24912.15
SKU0092,Small Appliances,Coffee Makers,2026-06-13,1433.99,3352.45
SKU0093,Decor,Mirrors,2024-07-21,1258.86,2730.52
SKU0094,Decor,Mirrors,2024-07-23,1434.97,3613.5
SKU0095,Decor,Vases,2024-08-05,222.14,401.8
SKU0096,Small Appliances,Toasters,2024-07-31,3162.45,6747.49
SKU0097,Decor,Wall Art,2024-07-30,1685.72,4456.44
SKU0098,Furnishings,Chairs,2024-07-29,5305.91,13585.91
SKU0099,Furnishings,Shelving,2024-07-21,6856.21,20418.94
SKU0100,Textiles,Throws,2026-04-09,1273.09,3239.29
SKU0101,Textiles,Cushions,2024-07-26,964.24,2288.15
SKU0102,Small Appliances,Air Fryers,2026-06-02,5575.9,15131.43
SKU0103,Furnishings,Shelving,2024-08-05,9922.29,28615.82
SKU0104,Textiles,Curtains,2024-08-07,543.29,1447.78
SKU0105,Lighting,Table Lamps,2024-07-23,3989.62,11792.73
SKU0106,Small Appliances,Toasters,2024-07-31,5371.84,14710.28
SKU0107,Decor,Candles,2024-08-05,711.04,2019.47
SKU0108,Furnishings,Chairs,2024-08-02,10450.52,20241.87
SKU0109,Furnishings,Chairs,2026-05-03,3510.99,
SKU0110,Textiles,Cushions,2024-07-19,2498.03,5815.68
SKU0111,Decor,Rugs,2024-08-05,1398.23,3444.85
SKU0112,Furnishings,Beds,2024-07-19,8676.19,22427.28
SKU0113,Decor,Rugs,2024-08-05,362.79,1075.23
SKU0114,Small Appliances,Coffee Makers,2024-08-01,5464.57,16292.58
SKU0115,Furnishings,Shelving,2024-07-29,2775.5,5955.87
SKU0116,Lighting,Table Lamps,2024-08-06,1342.9,3599.65
SKU0117,Lighting,Ceiling Lights,2024-07-30,1000.58,2701.55
SKU0118,Small Appliances,Blenders,2024-08-07,4839.19,10722.64
SKU0119,Decor,Candles,2026-04-30,556.77,1084.95
SKU0120,Small Appliances,Toasters,2024-07-20,5535.32,10235.56
SKU0121,Small Appliances,Kettles,2024-08-06,4212.6,11512.24
SKU0122,Small Appliances,Blenders,2024-07-26,988.05,2359.11
SKU0123,Furnishings,Sofas,2024-07-23,2551.58,7610.47
SKU0124, Decor ,Rugs,2024-07-21,292.98,690.84
SKU0125,Furnishings,Chairs,2024-07-19,8256.29,24550.08
SKU0126,Decor,Vases,2026-01-24,1642.67,3768.11
SKU0127,Decor,Rugs,2024-07-22,629.4,1732.37
SKU0128, Furnishings ,Sofas,2024-08-02,10569.38,20100.67
SKU0129,Furnishings,Shelving,2024-08-03,3043.7,7507.45
SKU0130,Small Appliances,Coffee Makers,2024-07-21,4965.01,13715.7
SKU0131,Furnishings,Tables,2024-07-22,11314.06,32919.86
SKU0132,Textiles,Cushions,2024-08-07,1998.64,5570.41
SKU0133,Small Appliances,Blenders,2024-08-03,4430.23,8170.96
SKU0134,Decor,Vases,2024-08-05,1708.36,3839.1
SKU0135,Small Appliances,Toasters,2024-07-21,1008.79,1874.77
SKU0136,Furnishings,Sofas,2026-06-04,4416.93,8529.7
SKU0137,Textiles,Throws,2024-07-30,574.83,1500.52
SKU0138,Decor,Wall Art,2024-08-02,1108.16,2943.17
SKU0139,Lighting,Floor Lamps,2024-07-21,3108.16,8480.51
SKU0140,Furnishings,Sofas,2026-01-28,,24085.39
SKU0141,Decor,Mirrors,2024-07-22,1732.04,4654.54
SKU0142,Decor,Wall Art,2024-08-03,479.38,1323.59
SKU0143,Textiles,Cushions,2024-07-19,1916.17,3561.69
SKU0144,Small Appliances,Blenders,2024-08-03,1803.82,3754.55
SKU0145, Decor ,Rugs,2024-08-02,687.37,1750.23
SKU0146,Furnishings,Sofas,2024-07-19,9244.09,26158.47
SKU0147,Decor,Candles,2026-01-31,1964.37,3546.47
SKU0148,Small Appliances,Toasters,2024-07-21,3980.03,9621.94
SKU0149,Decor,Candles,2024-07-21,298.1,778.86
SKU0150,Furnishings,Beds,2024-07-23,8354.94,15335.73
SKU0151,Lighting,Ceiling Lights,2024-07-27,648.23,1479.02
SKU0152,Textiles,Throws,2024-07-29,2245.12,6454.19
SKU0153,Furnishings,Shelving,2026-04-30,9240.99,24081.42
SKU0154,Small Appliances,Kettles,2024-07-30,1700.26,3545.37
SKU0155,Furnishings,Shelving,2024-07-20,3371.35,9518.46
SKU0156,Small Appliances,Toasters,2024-08-02,1754.37,3890.56
SKU0157,Decor,Mirrors,2024-08-04,1964.05,5546.5
SKU0158,Small Appliances,Coffee Makers,2024-07-23,3184.52,6874.53
SKU0159,Small Appliances,Air Fryers,2024-07-23,4877.22,12233.94
SKU0160,Lighting,Ceiling Lights,2024-07-28,2727.43,6208.53
SKU0161,furnishings,Tables,2024-07-27,7937.92,16906.1
SKU0162,Textiles,Cushions,2024-07-30,619.29,1773.57
SKU0163,Furnishings,Tables,2024-07-19,11487.23,23262.93
SKU0164,Furnishings,Sofas,2024-07-20,5362.76,10198.76
SKU0165,Small Appliances,Coffee Makers,2024-08-03,3805.69,8411.76
SKU0166,Decor,Vases,2026-07-01,1459.6,3884.24
SKU0167,Lighting,Table Lamps,2024-08-03,2772.32,7676.33
SKU0168,Lighting,Table Lamps,2024-07-27,3792.08,11370.52
SKU0169,Decor,Mirrors,2024-08-06,467.19,1007.09
SKU0170,Textiles,Throws,2024-07-19,1418.38,3247.42
SKU0171,Decor,Rugs,2024-08-01,927.26,1821.31
SKU0172,Decor,Candles,2024-07-20,1053.5,2623.05
SKU0173,Furnishings,Chairs,2026-06-18,3632.57,10887.16
SKU0174,Textiles,Cushions,2024-07-27,595.01,1571.46
SKU0175,Furnishings,Sofas,2024-07-25,5141.72,12927.6
SKU0176,Furnishings,Chairs,2024-07-28,5394.69,12250.49
SKU0177, Decor ,Rugs,2024-07-19,970.23,2812.07
SKU0178,Textiles,Throws,2024-07-26,1644.17,3939.92
SKU0179,Textiles,Curtains,2026-05-20,1696.18,3326.62
SKU0180,LIGHTING,Table Lamps,2024-08-01,1941.34,4345.6
SKU0181,Textiles,Cushions,2024-08-05,1199.32,2255.44
SKU0182,Textiles,Curtains,2024-07-25,778.78,1590.56
SKU0183,Decor,Wall Art,2024-08-06,1258.95,2292.8
SKU0184,decor,Wall Art,2026-06-01,770.67,1806.4
SKU0185,Lighting,Floor Lamps,2024-07-29,626.21,1604.0
SKU0186,Small Appliances,Coffee Makers,2024-07-30,2975.68,6582.06
SKU0187,Decor,Mirrors,2024-07-30,1053.44,2427.61
SKU0188,Furnishings,Sofas,2026-05-03,4643.13,13702.11
SKU0189,Lighting,Ceiling Lights,2024-08-01,2503.6,6765.62
SKU0190,Furnishings,Shelving,2024-07-22,7874.83,19285.68
SKU0191,Textiles,Curtains,2024-08-05,1844.4,3949.69
SKU0192,Furnishings,Shelving,2024-07-22,8655.51,24896.68
SKU0193,Furnishings,Chairs,2024-07-25,8698.11,18110.48
SKU0194,Lighting,Ceiling Lights,2024-07-31,1606.75,3519.44
SKU0195,Furnishings,Chairs,2024-07-23,9980.61,28852.72
SKU0196, Furnishings ,Shelving,2024-07-20,7716.87,18794.05
SKU0197,Small Appliances,Toasters,2024-07-28,3043.37,8189.04
SKU0198,Lighting,Ceiling Lights,2024-07-22,2691.04,6751.53
SKU0199,Furnishings,Beds,2024-07-19,5926.24,15314.16
SKU0200,Decor,Mirrors,2024-07-28,1122.93,2424.7
SKU0199,Furnishings,Beds,2024-07-19,5926.24,15314.16
SKU0155,Furnishings,Shelving,2024-07-20,3371.35,9518.46
SKU0150,Furnishings,Beds,2024-07-23,8354.94,15335.73
