date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2025-06-23,SKU0002,47.5,109.2,13.0,65.9
2025-06-30,SKU0002,27.5,109.2,13.0,65.9
2025-07-07,SKU0002,118.7,0.0,13.0,65.9
2025-07-14,SKU0002,99.7,0.0,13.0,65.9
2025-07-21,SKU0002,79.7,0.0,13.0,65.9
2025-07-28,SKU0002,59.7,109.2,13.0,65.9
2025-08-04,SKU0002,35.7,109.2,13.0,65.9
2025-08-11,SKU0002,125.9,0.0,13.0,65.9
2025-08-18,SKU0002,104.9,0.0,13.0,65.9
2025-08-25,SKU0002,83.9,0.0,13.0,65.9
2025-09-01,SKU0002,57.9,109.2,13.0,65.9
2025-09-08,SKU0002,36.9,109.2,13.0,65.9
2025-09-15,SKU0002,122.2,0.0,13.0,65.9
2025-09-22,SKU0002,91.2,0.0,13.0,65.9
2025-09-29,SKU0002,54.2,109.2,13.0,65.9
2025-10-06,SKU0002,8.2,109.2,13.0,65.9
2025-10-13,SKU0002,64.4,109.2,13.0,65.9
2025-10-20,SKU0002,22.4,109.2,13.0,65.9
2025-10-27,SKU0002,67.7,0.0,13.0,65.9
2025-11-03,SKU0002,38.7,109.2,13.0,65.9
2025-11-10,SKU0002,1.7,109.2,13.0,65.9
2025-11-17,SKU0002,82.9,0.0,13.0,65.9
2025-11-24,SKU0002,26.9,109.2,13.0,65.9
2025-12-01,SKU0002,0.9,109.2,13.0,65.9
2025-12-08,SKU0002,90.2,0.0,13.0,65.9
2025-12-15,SKU0002,44.2,109.2,13.0,65.9
2025-12-22,SKU0002,0.0,109.2,13.0,65.9
2025-12-29,SKU0002,66.2,0.0,13.0,65.9
2026-01-05,SKU0002,48.2,109.2,13.0,65.9
2026-01-12,SKU0002,34.2,109.2,13.0,65.9
2026-01-19,SKU0002,119.5,0.0,13.0,65.9
2026-01-26,SKU0002,96.5,0.0,13.0,65.9
2026-02-02,SKU0002,83.5,0.0,13.0,65.9
2026-02-09,SKU0002,62.5,109.2,13.0,65.9
2026-02-16,SKU0002,44.5,109.2,13.0,65.9
2026-02-23,SKU0002,136.7,0.0,13.0,65.9
2026-03-02,SKU0002,115.7,0.0,13.0,65.9
2026-03-09,SKU0002,97.7,0.0,13.0,65.9
2026-03-16,SKU0002,76.7,0.0,13.0,65.9
2026-03-23,SKU0002,48.7,109.2,13.0,65.9
2026-03-30,SKU0002,20.7,109.2,13.0,65.9
2026-04-06,SKU0002,114.0,0.0,13.0,65.9
2026-04-13,SKU0002,84.0,0.0,13.0,65.9
2026-04-20,SKU0002,57.0,109.2,13.0,65.9
2026-04-27,SKU0002,41.0,109.2,13.0,65.9
2026-05-04,SKU0002,133.2,0.0,13.0,65.9
2026-05-11,SKU0002,121.2,0.0,13.0,65.9
2026-05-18,SKU0002,98.2,0.0,13.0,65.9
2026-05-25,SKU0002,76.2,0.0,13.0,65.9
2026-06-01,SKU0002,67.2,0.0,13.0,65.9
2026-06-08,SKU0002,39.2,109.2,13.0,65.9
2026-06-15,SKU0002,6.2,109.2,13.0,65.9
2026-06-22,SKU0002,74.5,0.0,13.0,65.9
2026-06-29,SKU0002,38.5,109.2,13.0,65.9
2026-07-06,SKU0002,19.5,109.2,13.0,65.9
2026-07-13,SKU0002,106.7,0.0,13.0,65.9
2024-08-12,SKU0003,255.0,304.0,24.0,338.8
2024-08-19,SKU0003,192.0,304.0,24.0,338.8
2024-08-26,SKU0003,139.0,304.0,24.0,338.8
2024-09-02,SKU0003,385.1,0.0,24.0,338.8
2024-09-09,SKU0003,338.1,304.0,24.0,338.8
2024-09-16,SKU0003,277.1,304.0,24.0,338.8
2024-09-23,SKU0003,218.1,304.0,24.0,338.8
2024-09-30,SKU0003,442.1,0.0,24.0,338.8
2024-10-07,SKU0003,356.1,0.0,24.0,338.8
2024-10-14,SKU0003,207.1,304.0,24.0,338.8
2024-10-21,SKU0003,51.1,304.0,24.0,338.8
2024-10-28,SKU0003,0.0,304.0,24.0,338.8
2024-11-04,SKU0003,193.0,304.0,24.0,338.8
2024-11-11,SKU0003,106.0,304.0,24.0,338.8
2024-11-18,SKU0003,27.0,304.0,24.0,338.8
2024-11-25,SKU0003,220.1,304.0,24.0,338.8
2024-12-02,SKU0003,138.1,304.0,24.0,338.8
2024-12-09,SKU0003,54.1,304.0,24.0,338.8
2024-12-16,SKU0003,226.1,304.0,24.0,338.8
2024-12-23,SKU0003,80.1,304.0,24.0,338.8
2024-12-30,SKU0003,0.0,304.0,24.0,338.8
2025-01-06,SKU0003,236.0,304.0,24.0,338.8
2025-01-13,SKU0003,194.0,304.0,24.0,338.8
2025-01-20,SKU0003,141.0,304.0,24.0,338.8
2025-01-27,SKU0003,375.1,0.0,24.0,338.8
2025-02-03,SKU0003,321.1,304.0,24.0,338.8
2025-02-10,SKU0003,276.1,304.0,24.0,338.8
2025-02-17,SKU0003,232.1,304.0,24.0,338.8
2025-02-24,SKU0003,487.1,0.0,24.0,338.8
2025-03-03,SKU0003,437.1,0.0,24.0,338.8
2025-03-10,SKU0003,391.1,0.0,24.0,338.8
2025-03-17,SKU0003,343.1,0.0,24.0,338.8
2025-03-24,SKU0003,279.1,304.0,24.0,338.8
2025-03-31,SKU0003,216.1,304.0,24.0,338.8
2025-04-07,SKU0003,163.1,304.0,24.0,338.8
2025-04-14,SKU0003,404.2,0.0,24.0,338.8
2025-04-21,SKU0003,326.2,304.0,24.0,338.8
2025-04-28,SKU0003,258.2,304.0,24.0,338.8
2025-05-05,SKU0003,191.2,304.0,24.0,338.8
2025-05-12,SKU0003,416.2,0.0,24.0,338.8
2025-05-19,SKU0003,369.2,0.0,24.0,338.8
2025-05-26,SKU0003,306.2,304.0,24.0,338.8
2025-06-02,SKU0003,249.2,304.0,24.0,338.8
2025-06-09,SKU0003,196.2,304.0,24.0,338.8
2025-06-16,SKU0003,386.2,0.0,24.0,338.8
2025-06-23,SKU0003,290.2,304.0,24.0,338.8
2025-06-30,SKU0003,223.2,304.0,24.0,338.8
2025-07-07,SKU0003,158.2,304.0,24.0,338.8
2025-07-14,SKU0003,393.3,0.0,24.0,338.8
2025-07-21,SKU0003,334.3,304.0,24.0,338.8
2025-07-28,SKU0003,272.3,304.0,24.0,338.8
2025-08-04,SKU0003,197.3,304.0,24.0,338.8
2025-08-11,SKU0003,443.3,0.0,24.0,338.8
2025-08-18,SKU0003,390.3,0.0,24.0,338.8
2025-08-25,SKU0003,337.3,304.0,24.0,338.8
2025-09-01,SKU0003,272.3,304.0,24.0,338.8
2025-09-08,SKU0003,213.3,304.0,24.0,338.8
2025-09-15,SKU0003,447.4,0.0,24.0,338.8
2025-09-22,SKU0003,388.4,0.0,24.0,338.8
2025-09-29,SKU0003,288.4,304.0,24.0,338.8
2025-10-06,SKU0003,195.4,304.0,24.0,338.8
2025-10-13,SKU0003,50.4,304.0,24.0,338.8
2025-10-20,SKU0003,223.4,304.0,24.0,338.8
2025-10-27,SKU0003,105.4,304.0,24.0,338.8
2025-11-03,SKU0003,0.0,304.0,24.0,338.8
2025-11-10,SKU0003,221.0,304.0,24.0,338.8
2025-11-17,SKU0003,151.0,304.0,24.0,338.8
2025-11-24,SKU0003,2.0,304.0,24.0,338.8
2025-12-01,SKU0003,214.1,304.0,24.0,338.8
2025-12-08,SKU0003,120.1,304.0,24.0,338.8
2025-12-15,SKU0003,10.1,304.0,24.0,338.8
2025-12-22,SKU0003,175.1,304.0,24.0,338.8
2025-12-29,SKU0003,75.1,304.0,24.0,338.8
2026-01-05,SKU0003,8.1,304.0,24.0,338.8
2026-01-12,SKU0003,252.2,304.0,24.0,338.8
2026-01-19,SKU0003,189.2,304.0,24.0,338.8
2026-01-26,SKU0003,132.2,304.0,24.0,338.8
2026-02-02,SKU0003,377.2,0.0,24.0,338.8
2026-02-09,SKU0003,325.2,304.0,24.0,338.8
2026-02-16,SKU0003,269.2,304.0,24.0,338.8
2026-02-23,SKU0003,207.2,304.0,24.0,338.8
2026-03-02,SKU0003,435.2,0.0,24.0,338.8
2026-03-09,SKU0003,376.2,0.0,24.0,338.8
2026-03-16,SKU0003,306.2,304.0,24.0,338.8
2026-03-23,SKU0003,227.2,304.0,24.0,338.8
2026-03-30,SKU0003,165.2,304.0,24.0,338.8
2026-04-06,SKU0003,398.3,0.0,24.0,338.8
2026-04-13,SKU0003,339.3,0.0,24.0,338.8
2026-04-20,SKU0003,272.3,304.0,24.0,338.8
2026-04-27,SKU0003,204.3,304.0,24.0,338.8
2026-05-04,SKU0003,128.3,304.0,24.0,338.8
2026-05-11,SKU0003,360.3,0.0,24.0,338.8
2026-05-18,SKU0003,291.3,304.0,24.0,338.8
2026-05-25,SKU0003,214.3,304.0,24.0,338.8
2026-06-01,SKU0003,151.3,304.0,24.0,338.8
2026-06-08,SKU0003,391.4,0.0,24.0,338.8
2026-06-15,SKU0003,296.4,304.0,24.0,338.8
2026-06-22,SKU0003,200.4,304.0,24.0,338.8
2026-06-29,SKU0003,130.4,304.0,24.0,338.8
2026-07-06,SKU0003,366.4,0.0,24.0,338.8
2026-07-13,SKU0003,299.4,304.0,24.0,338.8
2024-07-29,SKU0004,148.8,0.0,12.0,99.6
2024-08-05,SKU0004,117.8,0.0,12.0,99.6
2024-08-12,SKU0004,82.8,178.8,12.0,99.6
2024-08-19,SKU0004,44.8,178.8,12.0,99.6
2024-08-26,SKU0004,194.7,0.0,12.0,99.6
2024-09-02,SKU0004,161.7,0.0,12.0,99.6
2024-09-09,SKU0004,117.7,0.0,12.0,99.6
2024-09-16,SKU0004,88.7,178.8,12.0,99.6
2024-09-23,SKU0004,54.7,178.8,12.0,99.6
2024-09-30,SKU0004,178.5,0.0,12.0,99.6
2024-10-07,SKU0004,133.5,0.0,12.0,99.6
2024-10-14,SKU0004,54.5,178.8,12.0,99.6
2024-10-21,SKU0004,0.0,178.8,12.0,99.6
2024-10-28,SKU0004,94.8,178.8,12.0,99.6
2024-11-04,SKU0004,31.8,178.8,12.0,99.6
2024-11-11,SKU0004,171.7,0.0,12.0,99.6
2024-11-18,SKU0004,117.7,0.0,12.0,99.6
2024-11-25,SKU0004,49.7,178.8,12.0,99.6
2024-12-02,SKU0004,1.7,178.8,12.0,99.6
2024-12-09,SKU0004,141.5,0.0,12.0,99.6
2024-12-16,SKU0004,78.5,178.8,12.0,99.6
2024-12-23,SKU0004,19.5,178.8,12.0,99.6
2024-12-30,SKU0004,138.3,0.0,12.0,99.6
2025-01-06,SKU0004,111.3,0.0,12.0,99.6
2025-01-13,SKU0004,84.3,178.8,12.0,99.6
2025-01-20,SKU0004,51.3,178.8,12.0,99.6
2025-01-27,SKU0004,201.2,0.0,12.0,99.6
2025-02-03,SKU0004,175.2,0.0,12.0,99.6
2025-02-10,SKU0004,153.2,0.0,12.0,99.6
2025-02-17,SKU0004,127.2,0.0,12.0,99.6
2025-02-24,SKU0004,100.2,0.0,12.0,99.6
2025-03-03,SKU0004,74.2,178.8,12.0,99.6
2025-03-10,SKU0004,34.2,178.8,12.0,99.6
2025-03-17,SKU0004,177.0,0.0,12.0,99.6
2025-03-24,SKU0004,142.0,0.0,12.0,99.6
2025-03-31,SKU0004,114.0,0.0,12.0,99.6
2025-04-07,SKU0004,75.0,178.8,12.0,99.6
2025-04-14,SKU0004,40.0,178.8,12.0,99.6
2025-04-21,SKU0004,171.8,0.0,12.0,99.6
2025-04-28,SKU0004,123.8,0.0,12.0,99.6
2025-05-05,SKU0004,89.8,178.8,12.0,99.6
2025-05-12,SKU0004,42.8,178.8,12.0,99.6
2025-05-19,SKU0004,182.7,0.0,12.0,99.6
2025-05-26,SKU0004,147.7,0.0,12.0,99.6
2025-06-02,SKU0004,109.7,0.0,12.0,99.6
2025-06-09,SKU0004,71.7,178.8,12.0,99.6
2025-06-16,SKU0004,16.7,178.8,12.0,99.6
2025-06-23,SKU0004,109.5,0.0,12.0,99.6
2025-06-30,SKU0004,48.5,178.8,12.0,99.6
2025-07-07,SKU0004,4.5,178.8,12.0,99.6
2025-07-14,SKU0004,152.3,0.0,12.0,99.6
2025-07-21,SKU0004,116.3,0.0,12.0,99.6
2025-07-28,SKU0004,84.3,178.8,12.0,99.6
2025-08-04,SKU0004,52.3,178.8,12.0,99.6
2025-08-11,SKU0004,193.2,0.0,12.0,99.6
2025-08-18,SKU0004,162.2,0.0,12.0,99.6
2025-08-25,SKU0004,129.2,0.0,12.0,99.6
2025-09-01,SKU0004,92.2,178.8,12.0,99.6
2025-09-08,SKU0004,65.2,178.8,12.0,99.6
2025-09-15,SKU0004,206.0,0.0,12.0,99.6
2025-09-22,SKU0004,167.0,0.0,12.0,99.6
2025-09-29,SKU0004,122.0,0.0,12.0,99.6
2025-10-06,SKU0004,58.0,178.8,12.0,99.6
2025-10-13,SKU0004,0.0,178.8,12.0,99.6
2025-10-20,SKU0004,84.8,178.8,12.0,99.6
2025-10-27,SKU0004,0.0,178.8,12.0,99.6
2025-11-03,SKU0004,122.8,0.0,12.0,99.6
2025-11-10,SKU0004,63.8,178.8,12.0,99.6
2025-11-17,SKU0004,15.8,178.8,12.0,99.6
2025-11-24,SKU0004,99.7,0.0,12.0,99.6
2025-12-01,SKU0004,48.7,178.8,12.0,99.6
2025-12-08,SKU0004,0.0,178.8,12.0,99.6
2025-12-15,SKU0004,113.8,0.0,12.0,99.6
2025-12-22,SKU0004,39.8,178.8,12.0,99.6
2025-12-29,SKU0004,0.0,178.8,12.0,99.6
2026-01-05,SKU0004,148.8,0.0,12.0,99.6
2026-01-12,SKU0004,114.8,0.0,12.0,99.6
2026-01-19,SKU0004,82.8,178.8,12.0,99.6
2026-01-26,SKU0004,47.8,178.8,12.0,99.6
2026-02-02,SKU0004,193.7,0.0,12.0,99.6
2026-02-09,SKU0004,157.7,0.0,12.0,99.6
2026-02-16,SKU0004,124.7,0.0,12.0,99.6
2026-02-23,SKU0004,90.7,178.8,12.0,99.6
2026-03-02,SKU0004,56.7,178.8,12.0,99.6
2026-03-09,SKU0004,182.5,0.0,12.0,99.6
2026-03-16,SKU0004,147.5,0.0,12.0,99.6
2026-03-23,SKU0004,101.5,0.0,12.0,99.6
2026-03-30,SKU0004,58.5,178.8,12.0,99.6
2026-04-06,SKU0004,22.5,178.8,12.0,99.6
2026-04-13,SKU0004,162.3,0.0,12.0,99.6
2026-04-20,SKU0004,117.3,0.0,12.0,99.6
2026-04-27,SKU0004,69.3,178.8,12.0,99.6
2026-05-04,SKU0004,32.3,178.8,12.0,99.6
2026-05-11,SKU0004,171.2,0.0,12.0,99.6
2026-05-18,SKU0004,134.2,0.0,12.0,99.6
2026-05-25,SKU0004,97.2,178.8,12.0,99.6
2026-06-01,SKU0004,63.2,178.8,12.0,99.6
2026-06-08,SKU0004,201.0,0.0,12.0,99.6
2026-06-15,SKU0004,144.0,0.0,12.0,99.6
2026-06-22,SKU0004,77.0,178.8,12.0,99.6
2026-06-29,SKU0004,38.0,178.8,12.0,99.6
2026-07-06,SKU0004,176.8,0.0,12.0,99.6
2026-07-13,SKU0004,131.8,0.0,12.0,99.6
2024-07-29,SKU0005,181.8,228.8,33.0,350.6
2024-08-05,SKU0005,130.8,228.8,33.0,350.6
2024-08-12,SKU0005,90.8,228.8,33.0,350.6
2024-08-19,SKU0005,48.8,228.8,33.0,350.6
2024-08-26,SKU0005,0.0,228.8,33.0,350.6
2024-09-02,SKU0005,186.8,228.8,33.0,350.6
2024-09-09,SKU0005,133.8,228.8,33.0,350.6
2024-09-16,SKU0005,79.8,228.8,33.0,350.6
2024-09-23,SKU0005,21.8,228.8,33.0,350.6
2024-09-30,SKU0005,0.0,228.8,33.0,350.6
2024-10-07,SKU0005,155.8,228.8,33.0,350.6
2024-10-14,SKU0005,54.8,228.8,33.0,350.6
2024-10-21,SKU0005,0.0,228.8,33.0,350.6
2024-10-28,SKU0005,0.0,228.8,33.0,350.6
2024-11-04,SKU0005,0.0,228.8,33.0,350.6
2024-11-11,SKU0005,147.8,228.8,33.0,350.6
2024-11-18,SKU0005,89.8,228.8,33.0,350.6
2024-11-25,SKU0005,7.8,228.8,33.0,350.6
2024-12-02,SKU0005,0.0,228.8,33.0,350.6
2024-12-09,SKU0005,0.0,228.8,33.0,350.6
2024-12-16,SKU0005,132.8,228.8,33.0,350.6
2024-12-23,SKU0005,17.8,228.8,33.0,350.6
2024-12-30,SKU0005,0.0,228.8,33.0,350.6
2025-01-06,SKU0005,0.0,228.8,33.0,350.6
2025-01-13,SKU0005,0.0,228.8,33.0,350.6
2025-01-20,SKU0005,186.8,228.8,33.0,350.6
2025-01-27,SKU0005,140.8,228.8,33.0,350.6
2025-02-03,SKU0005,98.8,228.8,33.0,350.6
2025-02-10,SKU0005,50.8,228.8,33.0,350.6
2025-02-17,SKU0005,15.8,228.8,33.0,350.6
2025-02-24,SKU0005,205.7,228.8,33.0,350.6
2025-03-03,SKU0005,166.7,228.8,33.0,350.6
2025-03-10,SKU0005,123.7,228.8,33.0,350.6
2025-03-17,SKU0005,79.7,228.8,33.0,350.6
2025-03-24,SKU0005,24.7,228.8,33.0,350.6
2025-03-31,SKU0005,205.5,228.8,33.0,350.6
2025-04-07,SKU0005,158.5,228.8,33.0,350.6
2025-04-14,SKU0005,104.5,228.8,33.0,350.6
2025-04-21,SKU0005,66.5,228.8,33.0,350.6
2025-04-28,SKU0005,20.5,228.8,33.0,350.6
2025-05-05,SKU0005,210.4,228.8,33.0,350.6
2025-05-12,SKU0005,158.4,228.8,33.0,350.6
2025-05-19,SKU0005,116.4,228.8,33.0,350.6
2025-05-26,SKU0005,64.4,228.8,33.0,350.6
2025-06-02,SKU0005,29.4,228.8,33.0,350.6
2025-06-09,SKU0005,207.2,228.8,33.0,350.6
2025-06-16,SKU0005,131.2,228.8,33.0,350.6
2025-06-23,SKU0005,55.2,228.8,33.0,350.6
2025-06-30,SKU0005,11.2,228.8,33.0,350.6
2025-07-07,SKU0005,0.0,228.8,33.0,350.6
2025-07-14,SKU0005,182.8,228.8,33.0,350.6
2025-07-21,SKU0005,131.8,228.8,33.0,350.6
2025-07-28,SKU0005,83.8,228.8,33.0,350.6
2025-08-04,SKU0005,36.8,228.8,33.0,350.6
2025-08-11,SKU0005,0.0,228.8,33.0,350.6
2025-08-18,SKU0005,187.8,228.8,33.0,350.6
2025-08-25,SKU0005,138.8,228.8,33.0,350.6
2025-09-01,SKU0005,95.8,228.8,33.0,350.6
2025-09-08,SKU0005,49.8,228.8,33.0,350.6
2025-09-15,SKU0005,0.0,228.8,33.0,350.6
2025-09-22,SKU0005,188.8,228.8,33.0,350.6
2025-09-29,SKU0005,122.8,228.8,33.0,350.6
2025-10-06,SKU0005,60.8,228.8,33.0,350.6
2025-10-13,SKU0005,0.0,228.8,33.0,350.6
2025-10-20,SKU0005,0.0,228.8,33.0,350.6
2025-10-27,SKU0005,113.8,228.8,33.0,350.6
2025-11-03,SKU0005,37.8,228.8,33.0,350.6
2025-11-10,SKU0005,0.0,228.8,33.0,350.6
2025-11-17,SKU0005,0.0,228.8,33.0,350.6
2025-11-24,SKU0005,0.0,228.8,33.0,350.6
2025-12-01,SKU0005,153.8,228.8,33.0,350.6
2025-12-08,SKU0005,80.8,228.8,33.0,350.6
2025-12-15,SKU0005,19.8,228.8,33.0,350.6
2025-12-22,SKU0005,0.0,228.8,33.0,350.6
2025-12-29,SKU0005,0.0,228.8,33.0,350.6
2026-01-05,SKU0005,172.8,228.8,33.0,350.6
2026-01-12,SKU0005,140.8,228.8,33.0,350.6
2026-01-19,SKU0005,104.8,228.8,33.0,350.6
2026-01-26,SKU0005,56.8,228.8,33.0,350.6
2026-02-02,SKU0005,13.8,228.8,33.0,350.6
2026-02-09,SKU0005,202.7,228.8,33.0,350.6
2026-02-16,SKU0005,164.7,228.8,33.0,350.6
2026-02-23,SKU0005,128.7,228.8,33.0,350.6
2026-03-02,SKU0005,81.7,228.8,33.0,350.6
2026-03-09,SKU0005,36.7,228.8,33.0,350.6
2026-03-16,SKU0005,224.5,228.8,33.0,350.6
2026-03-23,SKU0005,176.5,228.8,33.0,350.6
2026-03-30,SKU0005,139.5,228.8,33.0,350.6
2026-04-06,SKU0005,94.5,228.8,33.0,350.6
2026-04-13,SKU0005,34.5,228.8,33.0,350.6
2026-04-20,SKU0005,213.4,228.8,33.0,350.6
2026-04-27,SKU0005,164.4,228.8,33.0,350.6
2026-05-04,SKU0005,108.4,228.8,33.0,350.6
2026-05-11,SKU0005,50.4,228.8,33.0,350.6
2026-05-18,SKU0005,0.0,228.8,33.0,350.6
2026-05-25,SKU0005,180.8,228.8,33.0,350.6
2026-06-01,SKU0005,128.8,228.8,33.0,350.6
2026-06-08,SKU0005,80.8,228.8,33.0,350.6
2026-06-15,SKU0005,0.0,228.8,33.0,350.6
2026-06-22,SKU0005,0.0,228.8,33.0,350.6
2026-06-29,SKU0005,179.8,228.8,33.0,350.6
2026-07-06,SKU0005,140.8,228.8,33.0,350.6
2026-07-13,SKU0005,95.8,228.8,33.0,350.6
2024-08-12,SKU0006,241.9,0.0,7.0,99.8
2024-08-19,SKU0006,164.9,0.0,7.0,99.8
2024-08-26,SKU0006,105.9,0.0,7.0,99.8
2024-09-02,SKU0006,51.9,306.9,7.0,99.8
2024-09-09,SKU0006,297.9,0.0,7.0,99.8
2024-09-16,SKU0006,241.9,0.0,7.0,99.8
2024-09-23,SKU0006,180.9,0.0,7.0,99.8
2024-09-30,SKU0006,100.9,0.0,7.0,99.8
2024-10-07,SKU0006,0.0,306.9,7.0,99.8
2024-10-14,SKU0006,160.9,0.0,7.0,99.8
2024-10-21,SKU0006,12.9,306.9,7.0,99.8
2024-10-28,SKU0006,168.9,0.0,7.0,99.8
2024-11-04,SKU0006,71.9,306.9,7.0,99.8
2024-11-11,SKU0006,295.8,0.0,7.0,99.8
2024-11-18,SKU0006,212.8,0.0,7.0,99.8
2024-11-25,SKU0006,73.8,306.9,7.0,99.8
2024-12-02,SKU0006,276.8,0.0,7.0,99.8
2024-12-09,SKU0006,170.8,0.0,7.0,99.8
2024-12-16,SKU0006,55.8,306.9,7.0,99.8
2024-12-23,SKU0006,241.7,0.0,7.0,99.8
2024-12-30,SKU0006,128.7,0.0,7.0,99.8
2025-01-06,SKU0006,65.7,306.9,7.0,99.8
2025-01-13,SKU0006,318.6,0.0,7.0,99.8
2025-01-20,SKU0006,244.6,0.0,7.0,99.8
2025-01-27,SKU0006,190.6,0.0,7.0,99.8
2025-02-03,SKU0006,140.6,0.0,7.0,99.8
2025-02-10,SKU0006,87.6,306.9,7.0,99.8
2025-02-17,SKU0006,334.6,0.0,7.0,99.8
2025-02-24,SKU0006,277.6,0.0,7.0,99.8
2025-03-03,SKU0006,208.6,0.0,7.0,99.8
2025-03-10,SKU0006,159.6,0.0,7.0,99.8
2025-03-17,SKU0006,93.6,306.9,7.0,99.8
2025-03-24,SKU0006,338.5,0.0,7.0,99.8
2025-03-31,SKU0006,272.5,0.0,7.0,99.8
2025-04-07,SKU0006,222.5,0.0,7.0,99.8
2025-04-14,SKU0006,161.5,0.0,7.0,99.8
2025-04-21,SKU0006,99.5,306.9,7.0,99.8
2025-04-28,SKU0006,319.5,0.0,7.0,99.8
2025-05-05,SKU0006,260.5,0.0,7.0,99.8
2025-05-12,SKU0006,182.5,0.0,7.0,99.8
2025-05-19,SKU0006,120.5,0.0,7.0,99.8
2025-05-26,SKU0006,67.5,306.9,7.0,99.8
2025-06-02,SKU0006,324.4,0.0,7.0,99.8
2025-06-09,SKU0006,246.4,0.0,7.0,99.8
2025-06-16,SKU0006,151.4,0.0,7.0,99.8
2025-06-23,SKU0006,63.4,306.9,7.0,99.8
2025-06-30,SKU0006,296.4,0.0,7.0,99.8
2025-07-07,SKU0006,229.4,0.0,7.0,99.8
2025-07-14,SKU0006,176.4,0.0,7.0,99.8
2025-07-21,SKU0006,125.4,0.0,7.0,99.8
2025-07-28,SKU0006,61.4,306.9,7.0,99.8
2025-08-04,SKU0006,295.3,0.0,7.0,99.8
2025-08-11,SKU0006,219.3,0.0,7.0,99.8
2025-08-18,SKU0006,164.3,0.0,7.0,99.8
2025-08-25,SKU0006,113.3,0.0,7.0,99.8
2025-09-01,SKU0006,62.3,306.9,7.0,99.8
2025-09-08,SKU0006,292.2,0.0,7.0,99.8
2025-09-15,SKU0006,226.2,0.0,7.0,99.8
2025-09-22,SKU0006,154.2,0.0,7.0,99.8
2025-09-29,SKU0006,69.2,306.9,7.0,99.8
2025-10-06,SKU0006,273.2,0.0,7.0,99.8
2025-10-13,SKU0006,148.2,0.0,7.0,99.8
2025-10-20,SKU0006,0.0,306.9,7.0,99.8
2025-10-27,SKU0006,171.9,0.0,7.0,99.8
2025-11-03,SKU0006,56.9,306.9,7.0,99.8
